Country,Year,Level (cm),Rainfall,Temperature,Crop Production,GDP_Growth
Viet Nam,2002,229.5,168.8604583,24.90439167,34447200,6.320820988
Viet Nam,2003,190.5,129.9013667,24.97435,34568800,6.899063492
Viet Nam,2004,201.5,130.1136917,24.61105833,36148900,7.536410612
Viet Nam,2005,189.5,157.7486333,24.81881667,35832900,7.547247727
Viet Nam,2006,191.5,152.7939167,24.71604167,35849500,6.977954812
Viet Nam,2007,186.5,167.3985167,24.38475,35942700,7.129504484
Viet Nam,2008,171,163.8767417,23.8965,38729800,5.661771208
Viet Nam,2009,180.5,137.8751167,24.57829167,38950200,5.397897543
Viet Nam,2010,180.5,132.821825,24.92385833,40005600,6.423238217
Viet Nam,2011,140,166.8919583,23.88394167,42398344,6.240302749
Viet Nam,2012,142,178.814425,24.783025,43737598,5.247367156
Viet Nam,2013,195,178.3691917,24.517575,44039100,5.421882991
Viet Nam,2014,186,138.3499333,24.65445,44974206,5.983654637
Viet Nam,2015,102,143.9634,25.13700833,45090562,6.679288789
Viet Nam,2016,128.5,165.7384833,25.07315833,43112010,6.210811668
